claim_id,policy_id,claim_date,claim_amount,claim_type,description
F-2094,PF-989,2025-03-30,28900,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2095,PF-990,2025-03-01,29850,health,Major collision payout request; staged accident suspected per witness statements.
F-2096,PF-991,2025-03-02,30800,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2097,PF-992,2025-03-03,31750,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2098,PF-993,2025-03-04,32700,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2099,PF-994,2025-03-05,33650,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2100,PF-995,2025-03-06,34600,travel,Major collision payout request; staged accident suspected per witness statements.
F-2101,PF-996,2025-03-07,35550,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2102,PF-997,2025-03-08,36500,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2103,PF-998,2025-03-09,37450,health,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2104,PF-999,2025-03-10,38400,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2105,PF-1000,2025-03-11,39350,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2106,PF-1000,2025-03-11,45100,property,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2107,PF-1001,2025-03-12,40300,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2108,PF-1002,2025-03-13,41250,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2109,PF-1003,2025-03-14,42200,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2110,PF-1004,2025-03-15,43150,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2111,PF-1005,2025-03-16,44100,auto,Major collision payout request; staged accident suspected per witness statements.
F-2112,PF-1006,2025-03-17,45050,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2113,PF-1007,2025-03-18,46000,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2114,PF-1008,2025-03-19,46950,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2115,PF-1009,2025-03-20,47900,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2116,PF-1010,2025-03-21,48850,health,Major collision payout request; staged accident suspected per witness statements.
F-2117,PF-1011,2025-03-22,49800,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2118,PF-1012,2025-03-23,50750,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2119,PF-1013,2025-03-24,51700,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2120,PF-1014,2025-03-25,52650,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2121,PF-1015,2025-03-26,53600,travel,Major collision payout request; staged accident suspected per witness statements.
F-2122,PF-1016,2025-03-27,27000,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2123,PF-1017,2025-03-28,27950,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2124,PF-1018,2025-03-29,28900,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2125,PF-1019,2025-03-30,29850,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2126,PF-1020,2025-03-01,30800,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2127,PF-1021,2025-03-02,31750,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2128,PF-1022,2025-03-03,32700,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2129,PF-1023,2025-03-04,33650,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2130,PF-1024,2025-03-05,34600,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2131,PF-1025,2025-03-06,35550,auto,Major collision payout request; staged accident suspected per witness statements.
F-2132,PF-1025,2025-03-06,42050,auto,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2133,PF-1026,2025-03-07,36500,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2134,PF-1027,2025-03-08,37450,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2135,PF-1028,2025-03-09,38400,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2136,PF-1029,2025-03-10,39350,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2137,PF-1030,2025-03-11,40300,health,Major collision payout request; staged accident suspected per witness statements.
F-2138,PF-1031,2025-03-12,41250,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2139,PF-1032,2025-03-13,42200,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2140,PF-1033,2025-03-14,43150,auto,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2141,PF-1034,2025-03-15,44100,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2142,PF-1035,2025-03-16,45050,travel,Major collision payout request; staged accident suspected per witness statements.
F-2143,PF-1036,2025-03-17,46000,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2144,PF-1037,2025-03-18,46950,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2145,PF-1038,2025-03-19,47900,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2146,PF-1039,2025-03-20,48850,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2147,PF-1040,2025-03-21,49800,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2148,PF-1041,2025-03-22,50750,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2149,PF-1042,2025-03-23,51700,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2150,PF-1043,2025-03-24,52650,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2151,PF-1044,2025-03-25,53600,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2152,PF-1045,2025-03-26,27000,auto,Major collision payout request; staged accident suspected per witness statements.
F-2153,PF-1046,2025-03-27,27950,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2154,PF-1047,2025-03-28,28900,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2155,PF-1048,2025-03-29,29850,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2156,PF-1049,2025-03-30,30800,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2157,PF-1050,2025-03-01,31750,health,Major collision payout request; staged accident suspected per witness statements.
F-2158,PF-1050,2025-03-01,36750,health,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2159,PF-1051,2025-03-02,32700,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2160,PF-1052,2025-03-03,33650,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2161,PF-1053,2025-03-04,34600,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2162,PF-1054,2025-03-05,35550,health,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2163,PF-1055,2025-03-06,36500,travel,Major collision payout request; staged accident suspected per witness statements.
F-2164,PF-1056,2025-03-07,37450,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2165,PF-1057,2025-03-08,38400,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2166,PF-1058,2025-03-09,39350,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2167,PF-1059,2025-03-10,40300,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2168,PF-1060,2025-03-11,41250,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2169,PF-1061,2025-03-12,42200,auto,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2170,PF-1062,2025-03-13,43150,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2171,PF-1063,2025-03-14,44100,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2172,PF-1064,2025-03-15,45050,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2173,PF-1065,2025-03-16,46000,auto,Major collision payout request; staged accident suspected per witness statements.
F-2174,PF-1066,2025-03-17,46950,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2175,PF-1067,2025-03-18,47900,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2176,PF-1068,2025-03-19,48850,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2177,PF-1069,2025-03-20,49800,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2178,PF-1070,2025-03-21,50750,health,Major collision payout request; staged accident suspected per witness statements.
F-2179,PF-1071,2025-03-22,51700,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2180,PF-1072,2025-03-23,52650,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2181,PF-1073,2025-03-24,53600,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2182,PF-1074,2025-03-25,27000,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2183,PF-1075,2025-03-26,27950,travel,Major collision payout request; staged accident suspected per witness statements.
F-2184,PF-1075,2025-03-26,33700,travel,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2185,PF-1076,2025-03-27,28900,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2186,PF-1077,2025-03-28,29850,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2187,PF-1078,2025-03-29,30800,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2188,PF-1079,2025-03-30,31750,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2189,PF-1080,2025-03-01,32700,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2190,PF-1081,2025-03-02,33650,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2191,PF-1082,2025-03-03,34600,health,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2192,PF-1083,2025-03-04,35550,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2193,PF-1084,2025-03-05,36500,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2194,PF-1085,2025-03-06,37450,auto,Major collision payout request; staged accident suspected per witness statements.
F-2195,PF-1086,2025-03-07,38400,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2196,PF-1087,2025-03-08,39350,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2197,PF-1088,2025-03-09,40300,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2198,PF-1089,2025-03-10,41250,auto,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2199,PF-1090,2025-03-11,42200,health,Major collision payout request; staged accident suspected per witness statements.
F-2200,PF-1091,2025-03-12,43150,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2201,PF-1092,2025-03-13,44100,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2202,PF-1093,2025-03-14,45050,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2203,PF-1094,2025-03-15,46000,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2204,PF-1095,2025-03-16,46950,travel,Major collision payout request; staged accident suspected per witness statements.
F-2205,PF-1096,2025-03-17,47900,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2206,PF-1097,2025-03-18,48850,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2207,PF-1098,2025-03-19,49800,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2208,PF-1099,2025-03-20,50750,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2209,PF-900,2025-03-21,51700,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2210,PF-900,2025-03-21,58200,property,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2211,PF-901,2025-03-22,52650,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2212,PF-902,2025-03-23,53600,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2213,PF-903,2025-03-24,27000,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2214,PF-904,2025-03-25,27950,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2215,PF-905,2025-03-26,28900,auto,Major collision payout request; staged accident suspected per witness statements.
F-2216,PF-906,2025-03-27,29850,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2217,PF-907,2025-03-28,30800,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2218,PF-908,2025-03-29,31750,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2219,PF-909,2025-03-30,32700,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2220,PF-910,2025-03-01,33650,health,Major collision payout request; staged accident suspected per witness statements.
F-2221,PF-911,2025-03-02,34600,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2222,PF-912,2025-03-03,35550,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2223,PF-913,2025-03-04,36500,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2224,PF-914,2025-03-05,37450,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2225,PF-915,2025-03-06,38400,travel,Major collision payout request; staged accident suspected per witness statements.
F-2226,PF-916,2025-03-07,39350,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2227,PF-917,2025-03-08,40300,auto,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2228,PF-918,2025-03-09,41250,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2229,PF-919,2025-03-10,42200,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2230,PF-920,2025-03-11,43150,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2231,PF-921,2025-03-12,44100,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2232,PF-922,2025-03-13,45050,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2233,PF-923,2025-03-14,46000,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2234,PF-924,2025-03-15,46950,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2235,PF-925,2025-03-16,47900,auto,Major collision payout request; staged accident suspected per witness statements.
F-2236,PF-925,2025-03-16,52900,auto,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2237,PF-926,2025-03-17,48850,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2238,PF-927,2025-03-18,49800,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2239,PF-928,2025-03-19,50750,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2240,PF-929,2025-03-20,51700,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2241,PF-930,2025-03-21,52650,health,Major collision payout request; staged accident suspected per witness statements.
F-2242,PF-931,2025-03-22,53600,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2243,PF-932,2025-03-23,27000,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2244,PF-933,2025-03-24,27950,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2245,PF-934,2025-03-25,28900,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2246,PF-935,2025-03-26,29850,travel,Major collision payout request; staged accident suspected per witness statements.
F-2247,PF-936,2025-03-27,30800,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2248,PF-937,2025-03-28,31750,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2249,PF-938,2025-03-29,32700,health,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2250,PF-939,2025-03-30,33650,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2251,PF-940,2025-03-01,34600,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2252,PF-941,2025-03-02,35550,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2253,PF-942,2025-03-03,36500,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2254,PF-943,2025-03-04,37450,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2255,PF-944,2025-03-05,38400,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2256,PF-945,2025-03-06,39350,auto,Major collision payout request; staged accident suspected per witness statements.
F-2257,PF-946,2025-03-07,40300,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2258,PF-947,2025-03-08,41250,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2259,PF-948,2025-03-09,42200,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2260,PF-949,2025-03-10,43150,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2261,PF-950,2025-03-11,44100,health,Major collision payout request; staged accident suspected per witness statements.
F-2262,PF-950,2025-03-11,49850,health,Duplicate submission same day; repeat filing flagged; exaggerated narrative mentions staged loss.
F-2263,PF-951,2025-03-12,45050,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2264,PF-952,2025-03-13,46000,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2265,PF-953,2025-03-14,46950,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2266,PF-954,2025-03-15,47900,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2267,PF-955,2025-03-16,48850,travel,Major collision payout request; staged accident suspected per witness statements.
F-2268,PF-956,2025-03-17,49800,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2269,PF-957,2025-03-18,50750,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2270,PF-958,2025-03-19,51700,health,Duplicate submission for identical procedure on same day; suspicious narrative repeats. Police report pending.
F-2271,PF-959,2025-03-20,52650,travel,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2272,PF-960,2025-03-21,53600,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2273,PF-961,2025-03-22,27000,auto,Repeat high dollar claim; police report pending; staged indicators present.
F-2274,PF-962,2025-03-23,27950,health,Repeat high dollar claim; police report pending; staged indicators present.
F-2275,PF-963,2025-03-24,28900,travel,Repeat high dollar claim; police report pending; staged indicators present.
F-2276,PF-964,2025-03-25,29850,property,Follow-up claim filed 9 days later for same damage; exaggerated repairs requested.
F-2277,PF-965,2025-03-26,30800,auto,Major collision payout request; staged accident suspected per witness statements.
F-2278,PF-966,2025-03-27,31750,health,Repeat travel claim stating police report pending for missing jewelry; possible staged loss.
F-2279,PF-967,2025-03-28,32700,travel,Repeat high dollar claim; police report pending; staged indicators present.
